prior,method,z0,coverage,theta_true
NegSpiky,DKW-F,-3.0,1.0,-0.8501267707089855
NegSpiky,Gauss-F,-3.0,1.0,-0.8501267707089855
NegSpiky,Smooth-W₁ (CLT),-3.0,1.0,-0.8501267707089855
NegSpiky,W₁ (CLT),-3.0,1.0,-0.8501267707089855
NegSpiky,W₁ (DKW),-3.0,1.0,-0.8501267707089855
NegSpiky,W₁ (boot),-3.0,1.0,-0.8501267707089855
NegSpiky,DKW-F,-2.5,1.0,-0.6362421111726565
NegSpiky,Gauss-F,-2.5,1.0,-0.6362421111726565
NegSpiky,Smooth-W₁ (CLT),-2.5,1.0,-0.6362421111726565
NegSpiky,W₁ (CLT),-2.5,1.0,-0.6362421111726565
NegSpiky,W₁ (DKW),-2.5,1.0,-0.6362421111726565
NegSpiky,W₁ (boot),-2.5,1.0,-0.6362421111726565
NegSpiky,DKW-F,-2.0,1.0,-0.49577071993207994
NegSpiky,Gauss-F,-2.0,1.0,-0.49577071993207994
NegSpiky,Smooth-W₁ (CLT),-2.0,1.0,-0.49577071993207994
NegSpiky,W₁ (CLT),-2.0,1.0,-0.49577071993207994
NegSpiky,W₁ (DKW),-2.0,1.0,-0.49577071993207994
NegSpiky,W₁ (boot),-2.0,1.0,-0.49577071993207994
NegSpiky,DKW-F,-1.5,1.0,-0.39945336522151625
NegSpiky,Gauss-F,-1.5,1.0,-0.39945336522151625
NegSpiky,Smooth-W₁ (CLT),-1.5,1.0,-0.39945336522151625
NegSpiky,W₁ (CLT),-1.5,1.0,-0.39945336522151625
NegSpiky,W₁ (DKW),-1.5,1.0,-0.39945336522151625
NegSpiky,W₁ (boot),-1.5,1.0,-0.39945336522151625
NegSpiky,DKW-F,-1.0,1.0,-0.32624740559870014
NegSpiky,Gauss-F,-1.0,1.0,-0.32624740559870014
NegSpiky,Smooth-W₁ (CLT),-1.0,1.0,-0.32624740559870014
NegSpiky,W₁ (CLT),-1.0,1.0,-0.32624740559870014
NegSpiky,W₁ (DKW),-1.0,1.0,-0.32624740559870014
NegSpiky,W₁ (boot),-1.0,1.0,-0.32624740559870014
NegSpiky,DKW-F,-0.5,1.0,-0.2625019545746739
NegSpiky,Gauss-F,-0.5,1.0,-0.2625019545746739
NegSpiky,Smooth-W₁ (CLT),-0.5,1.0,-0.2625019545746739
NegSpiky,W₁ (CLT),-0.5,1.0,-0.2625019545746739
NegSpiky,W₁ (DKW),-0.5,1.0,-0.2625019545746739
NegSpiky,W₁ (boot),-0.5,1.0,-0.2625019545746739
NegSpiky,DKW-F,0.0,1.0,-0.19811636033439797
NegSpiky,Gauss-F,0.0,1.0,-0.19811636033439797
NegSpiky,Smooth-W₁ (CLT),0.0,1.0,-0.19811636033439797
NegSpiky,W₁ (CLT),0.0,1.0,-0.19811636033439797
NegSpiky,W₁ (DKW),0.0,1.0,-0.19811636033439797
NegSpiky,W₁ (boot),0.0,1.0,-0.19811636033439797
NegSpiky,DKW-F,0.5,1.0,-0.12274155445787531
NegSpiky,Gauss-F,0.5,1.0,-0.12274155445787531
NegSpiky,Smooth-W₁ (CLT),0.5,1.0,-0.12274155445787531
NegSpiky,W₁ (CLT),0.5,1.0,-0.12274155445787531
NegSpiky,W₁ (DKW),0.5,1.0,-0.12274155445787531
NegSpiky,W₁ (boot),0.5,1.0,-0.12274155445787531
NegSpiky,DKW-F,1.0,1.0,-0.021952035113312816
NegSpiky,Gauss-F,1.0,1.0,-0.021952035113312816
NegSpiky,Smooth-W₁ (CLT),1.0,1.0,-0.021952035113312816
NegSpiky,W₁ (CLT),1.0,1.0,-0.021952035113312816
NegSpiky,W₁ (DKW),1.0,1.0,-0.021952035113312816
NegSpiky,W₁ (boot),1.0,1.0,-0.021952035113312816
NegSpiky,DKW-F,1.5,1.0,0.1264910483620778
NegSpiky,Gauss-F,1.5,1.0,0.1264910483620778
NegSpiky,Smooth-W₁ (CLT),1.5,1.0,0.1264910483620778
NegSpiky,W₁ (CLT),1.5,1.0,0.1264910483620778
NegSpiky,W₁ (DKW),1.5,1.0,0.1264910483620778
NegSpiky,W₁ (boot),1.5,1.0,0.1264910483620778
NegSpiky,DKW-F,2.0,1.0,0.3524647433009833
NegSpiky,Gauss-F,2.0,1.0,0.3524647433009833
NegSpiky,Smooth-W₁ (CLT),2.0,1.0,0.3524647433009833
NegSpiky,W₁ (CLT),2.0,1.0,0.3524647433009833
NegSpiky,W₁ (DKW),2.0,1.0,0.3524647433009833
NegSpiky,W₁ (boot),2.0,1.0,0.3524647433009833
NegSpiky,DKW-F,2.5,1.0,0.6784642267246147
NegSpiky,Gauss-F,2.5,1.0,0.6784642267246147
NegSpiky,Smooth-W₁ (CLT),2.5,1.0,0.6784642267246147
NegSpiky,W₁ (CLT),2.5,1.0,0.6784642267246147
NegSpiky,W₁ (DKW),2.5,1.0,0.6784642267246147
NegSpiky,W₁ (boot),2.5,1.0,0.6784642267246147
NegSpiky,DKW-F,3.0,1.0,1.0862713932428893
NegSpiky,Gauss-F,3.0,1.0,1.0862713932428893
NegSpiky,Smooth-W₁ (CLT),3.0,1.0,1.0862713932428893
NegSpiky,W₁ (CLT),3.0,1.0,1.0862713932428893
NegSpiky,W₁ (DKW),3.0,1.0,1.0862713932428893
NegSpiky,W₁ (boot),3.0,1.0,1.0862713932428893
